gsno,lid,lat,lon,elev
12089500,MKNW1,46.9336111111,122.559722222,285.0
14306500,TIDO3,44.386111,123.830556,48.0
14377100,KRBO3,42.232222,123.664167,1210.0
13251000,PRPI1,44.0425,116.92417,2138.0
12304500,TRYM8,48.56194,115.96917,1839.0
14339000,EGLO3,42.525833,122.860556,1272.0
13010065,FLGW4,44.0988888889,110.667222222,6802.0
13183000,OWYO3,43.64944,117.24694,2400.0
12161000,GFLW1,48.103889,121.945556,310.0
12323760,ANDM8,46.13361,112.90222,5150.0
14191000,SLMO3,44.944444,123.041667,106.0
13348000,PULW1,46.7325,117.18,2326.0
14206500,FRMO3,45.447222,122.949444,100.0
14142500,SNDO3,45.449167,122.243889,240.0
14163900,MCZO3,44.07028,122.77,600.0
14308000,TILO3,42.93,122.946667,1040.0
12353000,BELM8,46.86917,114.12583,3084.0
14174000,ALBO3,44.638889,123.105556,167.0
14305500,SILO3,44.715278,123.886111,102.0
14307620,MPLO3,44.0625,123.88194,41.0
13277000,PWDO3,44.768333,117.830556,3442.0
14183000,MEHO3,44.78889,122.61667,602.0
12413000,ENVI1,47.5722222222,116.252777778,2120.0
12155500,SNAW1,47.91306,122.10889,35.0
12027500,CGMW1,46.783333,123.033333,124.0
14194150,MCMO3,45.205833,123.181389,62.0
14189000,JFFO3,44.715278,123.011111,200.0
13318960,LGNO3,45.35444,118.19139,2950.0
13249500,EMMI1,43.93056,116.44167,2400.0
13027500,SALW4,43.0797,111.0372,5676.0
12331800,DRMM8,46.71222,113.33,3790.0
12452800,ARDW1,47.81861,120.4219,1580.0
12210700,NRKW1,48.84194,122.29306,150.0
14120000,HODO3,45.654722,121.549444,383.0
14211500,SYCO3,45.47778,122.50667,228.0
12340000,BONM8,46.89972,113.75556,3345.0
12010000,NASW1,46.374167,123.742222,24.0
12363000,CFMM8,48.36194,114.18389,2978.0
12431000,LSDW1,47.78333,117.4,1590.0
14020000,GIBO3,45.719722,118.322222,1854.0
14322000,ECDO3,43.63,123.28,689.0
14312000,WSNO3,43.133889,123.3975,463.0
12472800,PRDW1,46.63333,119.86667,388.0
13316500,RIGI1,45.413056,116.324722,1760.0
12445000,TONW1,48.633333,119.466667,861.0
12324200,DLGM8,46.39778,112.74194,4500.0
12323240,BKTM8,45.99467,112.5357,5430.0
13037500,HEII1,43.6292,111.676,5015.0
12013500,WILW1,46.651111,123.651389,4.0
12354000,STRM8,47.29694,115.12167,2645.0
12355000,NFFQ2,49.000556,114.476389,3968.0
12370000,SWRM8,48.02444,113.97889,3063.0
14171000,PHIO3,44.52639,123.33333,224.0
12150800,MROW1,47.830278,122.048611,13.0
12390700,PRCM8,47.58611,115.35417,2382.0
12301933,KBDM8,48.40083,115.31972,2100.0
12344000,DARM8,45.97222,114.14056,3942.0
12213100,NKSW1,48.85,122.58333,5.0
14046000,MONO3,44.815,119.43056,1960.0
12476000,EASW1,47.23333,121.18333,2135.0
13235000,PRLI1,44.08528,115.62111,3790.0
12354500,SRGM8,47.30194,115.08639,2600.0
